date	ACRE	AMAZONAS	AMAPÁ	MARANHÃO	MATO GROSSO	PARÁ	RONDÔNIA	RORAIMA	TOCANTINS
2000	14786.5	26115.7	1639.6	70989.3	149501	171368.1	63875.2	5768	28718.2
2001	15480.9	27529.9	1896	95262.7	156642.5	188077.8	66644.5	6748.9	28997.7
2002	16425.3	28567.3	1964.6	96883	166531.9	196742.3	69624.2	7022	29238.5
2003	17431.8	30198.5	2389.9	98159.1	177223.1	207949.2	72914.9	7580.8	29379.8
2004	18226.1	31348.6	2490.3	99418.6	187559.5	217149.5	76756.3	7893.4	29532.1
2005	18959.1	32228.9	2550.6	100727.9	196038.7	225375.4	80404.1	8020.9	29933.6
2006	19191.7	32961.4	2595.8	101322	198619.5	230459.9	81752.1	8234.5	29966.9
2007	19356	33510.3	2690.2	101924.4	201186.1	236011.9	83349.5	8497.5	30029.5
2008	19641.6	34145.5	2788.5	103233.4	204614.7	241651.4	84458.5	9172	30135.1
2009	19808.9	34493.2	2837.2	104242.2	205440.5	245196.4	84893.5	9284.7	30195.1
2010	20076	35054.7	2908.7	104836.7	206219.5	248537.7	85333.2	9524.2	30248.3
2011	20382	35572	2924.9	105184.2	207291.1	251069.7	86109	9655.7	30281.5